host_time_unix,host_monotonic_s,phase,watts
1788739313.85261,2219555.755352938,active:t08:vision_ccd_to_fusion,102.83
1788739313.8626807,2219555.76542317,active:t08:vision_ccd_to_fusion,102.83
1788739313.8727546,2219555.775497393,active:t08:vision_ccd_to_fusion,104.61
1788739313.882816,2219555.785558685,active:t08:vision_ccd_to_fusion,104.61
1788739313.8928845,2219555.795627265,active:t08:vision_ccd_to_fusion,104.61
1788739313.902959,2219555.805701699,active:t08:vision_ccd_to_fusion,104.61
1788739313.9130256,2219555.815768336,active:t08:vision_ccd_to_fusion,104.61
1788739313.923091,2219555.825833675,active:t08:vision_ccd_to_fusion,104.61
1788739313.933159,2219555.835902062,active:t08:vision_ccd_to_fusion,104.61
1788739313.943228,2219555.84597056,active:t08:vision_ccd_to_fusion,104.61
1788739313.953297,2219555.856039716,active:t08:vision_ccd_to_fusion,104.61
1788739313.9633656,2219555.866108254,active:t08:vision_ccd_to_fusion,104.61
1788739313.9734383,2219555.876181081,active:t08:vision_ccd_to_fusion,104.61
1788739313.9835038,2219555.886246533,active:t08:vision_ccd_to_fusion,104.61
1788739313.9935765,2219555.896319169,active:t08:vision_ccd_to_fusion,104.61
1788739314.0036395,2219555.90638257,active:t08:vision_ccd_to_fusion,104.61
1788739314.0138347,2219555.916577577,active:t08:vision_ccd_to_fusion,104.61
1788739314.0237746,2219555.926517535,active:t08:vision_ccd_to_fusion,104.61
1788739314.0338442,2219555.936587069,active:t08:vision_ccd_to_fusion,104.61
1788739314.0439086,2219555.946651517,active:t08:vision_ccd_to_fusion,104.61
1788739314.0539804,2219555.956723162,active:t08:vision_ccd_to_fusion,104.61
1788739314.0640538,2219555.966796339,active:t08:vision_ccd_to_fusion,104.61
1788739314.0741181,2219555.976860845,active:t08:vision_ccd_to_fusion,104.61
1788739314.0841935,2219555.986936316,active:t08:vision_ccd_to_fusion,104.61
1788739314.094254,2219555.996996895,active:t08:vision_ccd_to_fusion,104.61
1788739314.1043272,2219556.00706979,active:t08:vision_ccd_to_fusion,104.61
1788739314.1143918,2219556.017134689,active:t08:vision_ccd_to_fusion,104.61
1788739314.1244614,2219556.027203992,active:t08:vision_ccd_to_fusion,104.61
1788739314.1345289,2219556.03727153,active:t08:vision_ccd_to_fusion,104.61
1788739314.144601,2219556.047343721,active:t08:vision_ccd_to_fusion,104.61
1788739314.1546612,2219556.057403819,active:t08:vision_ccd_to_fusion,104.61
1788739314.1647308,2219556.067473566,active:t08:vision_ccd_to_fusion,104.61
1788739314.1748016,2219556.077544445,active:t08:vision_ccd_to_fusion,104.61
1788739314.1848676,2219556.087610228,active:t08:vision_ccd_to_fusion,104.61
1788739314.1949337,2219556.097676539,active:t08:vision_ccd_to_fusion,104.61
1788739314.2050033,2219556.107745971,active:t08:vision_ccd_to_fusion,104.61
1788739314.215074,2219556.117816969,active:t08:vision_ccd_to_fusion,104.61
1788739314.225151,2219556.127893571,active:t08:vision_ccd_to_fusion,104.61
1788739314.2352107,2219556.13795345,active:t08:vision_ccd_to_fusion,104.61
1788739314.2452908,2219556.148033504,active:t08:vision_ccd_to_fusion,104.61
1788739314.255358,2219556.158100607,active:t08:vision_ccd_to_fusion,104.61
1788739314.2654262,2219556.168168772,active:t08:vision_ccd_to_fusion,104.61
1788739314.2754946,2219556.17823755,active:t08:vision_ccd_to_fusion,104.61
1788739314.285576,2219556.18831878,active:t08:vision_ccd_to_fusion,104.61
1788739314.2956495,2219556.198392207,active:t08:vision_ccd_to_fusion,104.61
1788739314.305696,2219556.208438594,active:t08:vision_ccd_to_fusion,104.61
1788739314.3157628,2219556.218505508,active:t08:vision_ccd_to_fusion,104.61
1788739314.3258436,2219556.228586203,active:t08:vision_ccd_to_fusion,104.61
1788739314.3359003,2219556.238643086,active:t08:vision_ccd_to_fusion,104.61
1788739314.3459692,2219556.248711909,active:t08:vision_ccd_to_fusion,104.61
1788739314.3560343,2219556.258777066,active:t08:vision_ccd_to_fusion,104.61
1788739314.3661103,2219556.268852822,active:t08:vision_ccd_to_fusion,104.67
1788739314.376171,2219556.278913707,active:t08:vision_ccd_to_fusion,104.67
1788739314.386239,2219556.288981704,active:t08:vision_ccd_to_fusion,104.67
1788739314.396307,2219556.299049683,active:t08:vision_ccd_to_fusion,104.67
1788739314.406373,2219556.309115713,active:t08:vision_ccd_to_fusion,104.67
1788739314.4164398,2219556.319182436,active:t08:vision_ccd_to_fusion,104.67
1788739314.4265096,2219556.329252447,active:t08:vision_ccd_to_fusion,104.67
1788739314.4365766,2219556.33931929,active:t08:vision_ccd_to_fusion,104.67
1788739314.4466422,2219556.349385005,active:t08:vision_ccd_to_fusion,104.67
1788739314.4567132,2219556.359455856,active:t08:vision_ccd_to_fusion,104.67
1788739314.4667776,2219556.369520394,active:t08:vision_ccd_to_fusion,104.67
1788739314.4768445,2219556.379587173,active:t08:vision_ccd_to_fusion,104.67
1788739314.4869144,2219556.389656988,active:t08:vision_ccd_to_fusion,104.67
1788739314.4969833,2219556.399725994,active:t08:vision_ccd_to_fusion,104.67
1788739314.5070531,2219556.409795868,active:t08:vision_ccd_to_fusion,104.67
1788739314.5171204,2219556.4198629,active:t08:vision_ccd_to_fusion,104.67
1788739314.527189,2219556.429931659,active:t08:vision_ccd_to_fusion,104.67
1788739314.5372686,2219556.440011354,active:t08:vision_ccd_to_fusion,104.67
1788739314.5473285,2219556.450071221,active:t08:vision_ccd_to_fusion,104.67
1788739314.557396,2219556.460138771,active:t08:vision_ccd_to_fusion,104.67
1788739314.5674655,2219556.470208083,active:t08:vision_ccd_to_fusion,104.67
1788739314.5775366,2219556.48027931,active:t08:vision_ccd_to_fusion,104.67
1788739314.587605,2219556.490347662,active:t08:vision_ccd_to_fusion,104.67
1788739314.5976698,2219556.500412671,active:t08:vision_ccd_to_fusion,104.67
1788739314.6077416,2219556.51048441,active:t08:vision_ccd_to_fusion,104.67
1788739314.6178062,2219556.520548737,active:t08:vision_ccd_to_fusion,104.67
1788739314.627875,2219556.530617879,active:t08:vision_ccd_to_fusion,104.67
1788739314.6379437,2219556.540686558,active:t08:vision_ccd_to_fusion,104.67
1788739314.6480834,2219556.550826365,active:t08:vision_ccd_to_fusion,104.67
1788739314.6582403,2219556.560983619,active:t08:vision_ccd_to_fusion,104.67
1788739314.6682422,2219556.57098481,active:t08:vision_ccd_to_fusion,104.67
1788739315.232259,2219557.135002103,active:t08:vision_ccd_to_next_slm,104.23
1788739315.2423255,2219557.145068243,active:t08:vision_ccd_to_next_slm,104.23
1788739315.2523882,2219557.155131275,active:t08:vision_ccd_to_next_slm,104.23
1788739315.2624702,2219557.165212947,active:t08:vision_ccd_to_next_slm,104.23
1788739315.2725244,2219557.175266966,active:t08:vision_ccd_to_next_slm,104.23
1788739315.2825925,2219557.185335329,active:t08:vision_ccd_to_next_slm,104.23
1788739315.2926605,2219557.195403167,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3027287,2219557.205471375,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3128014,2219557.215543915,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3228657,2219557.225608353,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3329382,2219557.235681142,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3430033,2219557.24574622,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3530715,2219557.255814127,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3631415,2219557.265884366,active:t08:vision_ccd_to_next_slm,104.23
1788739315.3732085,2219557.275951336,active:t08:vision_ccd_to_next_slm,103.22
1788739315.3832898,2219557.286032634,active:t08:vision_ccd_to_next_slm,103.22
1788739315.3933399,2219557.296082474,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4034073,2219557.306150074,active:t08:vision_ccd_to_next_slm,103.22
