dataset,method,intervention,top1_percent,top3_percent,top1_change_pp
cifar,qwen_vision_lora,remove_vision_optical,43.09999942779541,74.40000176429749,-6.800001859664917
cifar,qwen_vision_lora,remove_language_optical,30.300000309944153,59.20000076293945,-19.600000977516174
cifar,qwen_vision_global_lora,initial_experts,45.500001311302185,76.80000066757202,-1.5999972820281982
cifar,qwen_vision_global_lora,flat_pi_experts,45.500001311302185,76.80000066757202,-1.5999972820281982
cifar,qwen_vision_global_lora,lora_disabled_same_decoder,46.799999475479126,77.89999842643738,-0.2999991178512573
cifar,qwen_vision_global_lora,remove_optical,26.499998569488525,53.700000047683716,-20.600000023841858
cifar,qwen_vision_global_lora,remove_electronic,32.19999969005585,63.70000243186951,-14.899998903274536
cifar,qwen_vision_global_lora,remove_vision_optical,36.30000054836273,70.09999752044678,-10.799998044967651
cifar,qwen_vision_global_lora,remove_language_optical,31.200000643730164,61.10000014305115,-15.89999794960022
imagenette,direct,initial_experts,24.611465632915497,50.31847357749939,-14.547769725322723
imagenette,direct,flat_pi_experts,24.611465632915497,50.31847357749939,-14.547769725322723
imagenette,direct,remove_optical,24.66242015361786,52.02547907829285,-14.496815204620361
imagenette,direct,remove_electronic,19.89808976650238,44.78980898857117,-19.26114559173584
imagenette,direct,remove_vision_optical,30.777069926261902,56.203824281692505,-8.382165431976318
imagenette,direct,remove_language_optical,24.535031616687775,54.063695669174194,-14.624203741550446
imagenette,clip_vision_lora,initial_experts,34.87898111343384,64.15286660194397,-3.5414010286331177
imagenette,clip_vision_lora,flat_pi_experts,34.87898111343384,64.15286660194397,-3.5414010286331177
imagenette,clip_vision_lora,lora_disabled_same_decoder,38.445860147476196,65.68152904510498,0.025478005409240723
imagenette,clip_vision_lora,remove_optical,24.560509622097015,53.732484579086304,-13.85987251996994
imagenette,clip_vision_lora,remove_electronic,23.108279705047607,47.94904589653015,-15.312102437019348
imagenette,clip_vision_lora,remove_vision_optical,32.45859742164612,59.38853621482849,-5.961784720420837
imagenette,clip_vision_lora,remove_language_optical,24.40764307975769,54.700636863708496,-14.012739062309265
imagenette,qwen_vision_pooled_lora,initial_experts,36.81528568267822,64.45859670639038,-2.318471670150757
imagenette,qwen_vision_pooled_lora,flat_pi_experts,36.81528568267822,64.45859670639038,-2.318471670150757
