host_time_unix,host_monotonic_s,phase,watts
1788928426.6453788,45100379.12824668,active:169,39.42
1788928426.6954472,45100379.178314716,active:169,39.42
1788928426.8960557,45100379.3789236,active:170,85.36
1788928427.1467252,45100379.62959211,active:171,38.63
1788928427.3473725,45100379.83023964,active:172,38.72
1788928427.3975465,45100379.88041348,active:172,38.72
1788928427.5980797,45100380.08094695,active:173,39.21
1788928427.6482246,45100380.13109164,active:173,38.72
1788928427.8990288,45100380.38189632,active:174,38.82
1788928427.9491138,45100380.431980446,active:174,81.97
1788928428.199872,45100380.68273886,active:175,38.63
1788928428.2499878,45100380.73285459,active:175,38.63
1788928428.4004657,45100380.883333385,active:176,45.16
1788928428.450582,45100380.93344879,active:176,45.16
1788928428.6512225,45100381.134090014,active:177,56.92
1788928428.7013113,45100381.184178635,active:177,38.73
1788928428.8518193,45100381.334686205,active:178,83.67
1788928428.90198,45100381.3848473,active:178,38.82
1788928429.0525365,45100381.53540416,active:179,78.06
1788928429.253158,45100381.736025184,active:180,83.24
1788928429.3032942,45100381.78616085,active:180,83.24
1788928429.5541449,45100382.03701176,active:181,38.63
1788928429.6043065,45100382.087173685,active:181,38.63
1788928429.8553386,45100382.33820626,active:182,38.72
1788928430.0058649,45100382.48873299,active:183,86.97
1788928430.0560575,45100382.53892464,active:183,41.9
1788928430.3070729,45100382.78994018,active:184,38.73
1788928430.3572276,45100382.84009461,active:184,38.72
1788928430.6081445,45100383.09101187,active:185,38.72
1788928430.6583507,45100383.14121786,active:185,38.72
1788928430.8089356,45100383.29180307,active:186,40.71
1788928430.9595459,45100383.44241312,active:187,91.29
1788928431.009737,45100383.49260418,active:187,39.81
1788928431.160332,45100383.64319949,active:188,82.91
1788928431.2105453,45100383.693412766,active:188,39.03
1788928431.3611166,45100383.843983956,active:189,78.91
1788928431.4113123,45100383.89417973,active:189,39.12
1788928431.5617652,45100384.044631965,active:190,83.28
1788928431.6120381,45100384.09490552,active:190,38.82
1788928431.7626674,45100384.24553476,active:191,84.33
1788928431.8128119,45100384.29567906,active:191,84.33
1788928432.0639212,45100384.54678874,active:192,38.63
1788928432.1140287,45100384.59689619,active:192,38.63
1788928432.2647214,45100384.74758841,active:193,38.82
1788928432.3148353,45100384.79770246,active:193,38.82
1788928432.4153576,45100384.89822511,active:194,82.19
1788928432.4654667,45100384.94833403,active:194,64.52
1788928432.6160297,45100385.098897316,active:195,43.78
1788928432.8166857,45100385.299553245,active:196,40.51
1788928432.8668349,45100385.34970224,active:196,85.55
1788928433.2182412,45100385.70110859,active:197,38.72
1788928433.3688395,45100385.85170674,active:198,87.31
1788928433.4190345,45100385.90190162,active:198,39.11
1788928433.519431,45100386.002298385,active:199,84.37
1788928433.569614,45100386.05248142,active:199,84.37
1788928433.6700103,45100386.152877726,active:200,81.37
1788928433.7201817,45100386.20304898,active:200,42.09
1788928434.0214028,45100386.50427032,active:201,39.61
1788928434.071602,45100386.55446934,active:201,39.61
1788928434.2723992,45100386.755266584,active:202,43.18
1788928434.3226352,45100386.805502705,active:202,39.71
1788928434.5736048,45100387.05647282,active:203,39.51
1788928434.623735,45100387.10660253,active:203,39.51
1788928434.8746786,45100387.357546225,active:204,39.81
1788928434.9248736,45100387.40774081,active:204,39.81
1788928435.226106,45100387.70897324,active:205,39.32
1788928435.4268794,45100387.90974685,active:206,39.12
1788928435.6276674,45100388.11053477,active:207,38.93
1788928435.9289608,45100388.411828734,active:208,38.52
1788928435.9789765,45100388.46184397,active:208,41.87
1788928436.1798337,45100388.66270087,active:209,49.4
