phase,host_time_unix,watts,utilization_percent,memory_used_mib
active:batch230:size2,1788875009.926153,213.97,78.0,4883.0
active:batch230:size2,1788875009.9764717,213.97,63.0,4883.0
active:batch231:size2,1788875010.0659986,209.91,63.0,4883.0
active:batch232:size2,1788875010.117991,209.91,63.0,4883.0
active:batch233:size2,1788875010.205849,153.39,67.0,4883.0
active:batch238:size2,1788875010.570247,153.39,67.0,4883.0
active:batch238:size2,1788875010.6206002,141.06,73.0,4883.0
active:batch239:size2,1788875010.6708264,141.06,73.0,4883.0
active:batch240:size2,1788875010.7714531,237.71,73.0,4883.0
active:batch241:size2,1788875010.8217242,242.4,72.0,4883.0
active:batch242:size2,1788875010.9223742,169.4,72.0,4883.0
active:batch243:size2,1788875010.972704,169.4,72.0,4883.0
active:batch243:size2,1788875011.02301,227.08,78.0,4883.0
active:batch244:size2,1788875011.073239,227.08,78.0,4883.0
active:batch245:size2,1788875011.1235523,262.26,78.0,4883.0
active:batch245:size2,1788875011.1738365,262.26,78.0,4883.0
active:batch246:size2,1788875011.2241418,146.1,69.0,4883.0
active:batch247:size2,1788875011.2744734,146.1,69.0,4883.0
active:batch247:size2,1788875011.3247213,241.42,69.0,4883.0
active:batch248:size2,1788875011.375025,241.42,69.0,4883.0
active:batch249:size2,1788875011.4756467,241.42,75.0,4883.0
active:batch250:size2,1788875011.5259676,156.72,75.0,4883.0
active:batch251:size2,1788875011.6266434,231.21,75.0,4883.0
active:batch252:size2,1788875011.6768732,231.21,72.0,4883.0
active:batch253:size2,1788875011.7688107,228.15,73.0,4883.0
active:batch254:size2,1788875011.8218281,228.15,73.0,4883.0
active:batch254:size2,1788875011.8731635,243.77,73.0,4883.0
active:batch260:size2,1788875012.2872202,193.84,73.0,4883.0
active:batch260:size2,1788875012.337497,193.84,71.0,4883.0
active:batch261:size2,1788875012.3877654,234.76,71.0,4883.0
active:batch262:size2,1788875012.48834,233.61,76.0,4883.0
active:batch263:size2,1788875012.5385985,233.61,76.0,4883.0
