host_time_unix,host_monotonic_s,phase,watts
1788739105.8073676,2219347.710111476,active:0,154.96
1788739105.8174307,2219347.720173687,active:0,154.96
1788739105.8375745,2219347.740317097,active:1,154.96
1788739105.8476355,2219347.750378331,active:1,154.96
1788739105.8677907,2219347.770533502,active:2,154.96
1788739105.8778377,2219347.780580201,active:2,154.96
1788739105.9183211,2219347.821063849,active:3,154.96
1788739105.9283917,2219347.831134294,active:3,154.96
1788739105.9384604,2219347.841203167,active:3,154.96
1788739105.9485438,2219347.851286407,active:4,154.96
1788739105.958598,2219347.861340629,active:4,154.96
1788739105.9686675,2219347.871410064,active:4,154.96
1788739105.9888446,2219347.891587225,active:5,154.96
1788739105.9989264,2219347.901669089,active:5,154.96
1788739106.00901,2219347.911752752,active:5,154.96
1788739106.0190856,2219347.921828403,active:6,154.96
1788739106.0291603,2219347.931902758,active:6,154.96
1788739106.0392103,2219347.941953025,active:6,154.96
1788739106.0593653,2219347.962108146,active:7,154.96
1788739106.069519,2219347.972261728,active:7,151.8
1788739106.089654,2219347.992397266,active:8,151.8
1788739106.0997117,2219348.002454305,active:8,151.8
1788739106.1097825,2219348.012525324,active:8,151.8
1788739106.1299229,2219348.032665614,active:9,151.8
1788739106.1399918,2219348.042734427,active:9,151.8
1788739106.1601427,2219348.062885334,active:10,151.8
1788739106.1702127,2219348.072955585,active:10,151.8
1788739106.18028,2219348.083022832,active:10,151.8
1788739106.200459,2219348.103201697,active:11,151.8
1788739106.210476,2219348.113218645,active:11,151.8
1788739106.23087,2219348.133614506,active:12,151.8
1788739106.2408478,2219348.143590849,active:12,151.8
1788739106.2509062,2219348.153648791,active:12,151.8
1788739106.271044,2219348.173786871,active:13,151.8
1788739106.2811174,2219348.183860201,active:13,151.8
1788739106.291193,2219348.193935939,active:13,151.8
1788739106.3113446,2219348.214087602,active:14,151.8
1788739106.3213966,2219348.224139287,active:14,151.8
1788739106.3415375,2219348.244280316,active:15,151.8
1788739106.351634,2219348.254376672,active:15,151.8
1788739106.3717487,2219348.274491435,active:16,151.8
1788739106.3818483,2219348.284591036,active:16,151.8
1788739106.392337,2219348.2950799,active:16,151.8
1788739106.4024985,2219348.305241427,active:16,151.8
1788739106.4225361,2219348.325278976,active:17,151.8
1788739106.4326074,2219348.335350155,active:17,151.8
1788739106.4527504,2219348.355492977,active:18,151.8
1788739106.4628232,2219348.365565938,active:18,151.8
1788739106.4728937,2219348.37563648,active:18,151.8
1788739106.4930556,2219348.395798173,active:19,151.8
1788739106.5031126,2219348.405855147,active:19,151.8
1788739106.52327,2219348.42601328,active:20,151.8
